A ambição, cerra o coração
A apressada pergunta, vagarosa resposta
A boca do ambicioso, só se fecha com terra da sepultura
A boda e a baptizado, não vás sem ser convidado
A cavalo dado, não se olha o dente
A chuva no S João, tira a uva e não dá pão
A desconfiança, é a mãe da segurança
A falta do amigo há-de se conhecer, mas não aborrecer
A fome, é inimiga da virtude
A fome, é o melhor tempero
A galinha da minha vizinha, é mais gorda que a minha
Água mole em pedra dura, tanto dá até que fura
Águas passadas, não moem moinhos
A ignorância e o vento, são do maior atrevimento
Alcança, quem não cansa
Amigo amigos, negócios à parte
Amor, com amor se paga
A mulher e a sardinha, quer-se da mais pequenina
A noite, é boa conselheira
Antes anoitecer sem ceia, que andar com dívidas
Antes minha face com fome amarela, que vergonha nela
A ocasião, faz o ladrão
A ociosidade, é a mãe de todos os vícios
Ao menino e ao borracho, põe Deus a mão por baixo
Ao rico mil amigos se deparam, ao pobre seus irmãos o desamparam
A palavras moucas, orelhas moucas
A quem do seu foi mau despenseiro, não fies o teu dinheiro
A razão e a verdade, fogem quando ouvem disputas
Arrenda a vinha e o pomar, se os queres desgraçar
Atrás do tempo, tempo vem
A um favor mil favores, a piparote, chicote
Boa fama granjeia, quem não diz mal da vida alheia
Boda e mortalha, no céu se talha
Burro morto, cevada ao rabo
Burro velho, não aprende línguas
Burro velho não toma andadura, e se a toma, pouco dura
Cá e lá, más fadas há
Cada qual, com seu igual
Cada terra com seu uso, cada roca com seu fuso
Cão que ladra, não morde
Casa roubada, trancas à porta
Cautela e caldos de galinha, nunca fizeram mal a ninguém
Cavalo que voa, não quer espora
Cesteiro que faz um cesto faz um cento, dando-lhe verga e tempo
Céu pedrento ou chuva ou vento, ou qualquer outro tempo
Chega-te aos bons serás um deles, chega-te aos maus serás pior do que eles
Choupana onde se ri, vale mais que palácio onde se chora
Chuva no S João, tira a uva e não dá pão 
Com direito por teu lado, nunca receies dar brado
Comida fina em corpos grossos, faz mal aos ossos
Com teu amo não jogues as peras, porque ele come as maduras e deixa-te as verdes
Criado que faz o seu dever, orelhas de burro deve ter
Cria fama, e deita-se a dormir
Dá Deus nozes, a quem não tem dentes
Da discussão, nasce a luz
Da mão à boca, se perde muitas vezes a sopa
Dá a César o que é de César, e a Deus o que é de Deus
Debaixo de ruim capa, se esconde o bom bebedor
Debaixo dos pés, se levantam os trabalhos
De boas intenções, está o inferno cheio
Defeitos do meu amigo, lamento mas não maldigo
De homem só, tende dó
Deitar cedo e cedo erguer, dá saúde e faz crescer
De noite, todos os gatos são pardos
Depois da tempestade vem, a bonança
Depois de burro morto, cevada ao rabo
Depressa e bem, há pouco quem
Desta moita, não sai coelho
Deus ajuda quem trabalha, que é capital que menos falha
Deus escreve direito, por linhas tortas
Devagar, que tenho pressa
Devagar, se vai ao longe
Diz-me com quem andas, dir-te-ei quem és
Do pão do nosso compadre, grande fatia ao nosso afilhado
Duro com duro, não faz bom muro
Em casa de ferreiro, espeto de pau
Em casa de letrado, nunca faltam razões
Em casa onde não há pão, todos ralham e ninguém tem razão
Em terra de cegos, quem tem um olho é rei
Enquanto há vento, molha-se a vela
Enquanto o pau vai e vem, folgam as costas
Entradas de leão, saídas de sendeiro
Entre homem e mulher, não metas a colher
Este mundo é uma bola, quem anda nele é que se amola
É tarde para a economia, quando a bolsa está vazia
Falai no mau, e aparelhai o pau
Fazer bem a ruim vilão, é lançar água em cesto roto
Filho de peixe, sabe nadar
Filho és pai serás, assim como fizeres assim acharás
Gato escaldado, de água fria tem medo
Grão a grão, enche a galinha o papo
Homem chorão, ou corno ou cabrão
Homem pequenino, ou velhaco ou dançarino
Homem prevenido, vale por dois
Honra e proveito, não cabem num saco estreito
